Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Council,Location.lat,Location.lon,Street,Photo,Photo 2,Notes
32,Parklets,published,15/11/2020 3:17,,15/11/2020 3:15,Yarra,-37.816531,145.013396,"River St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb09db11da23-30433dc9-bfae-4b42-b578-8034c110e9e7.jpeg,,
33,Parklets,published,15/11/2020 3:20,,15/11/2020 3:18,Yarra,-37.799722,144.995007,"Lulie St, Abbotsford",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb09e861b2f0-46a38be1-cd55-4908-b67e-9b3c5cb8fcf0.jpeg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb09e861b45f-68ccd525-40ef-460c-b33e-6ba1230fd780.jpeg,
34,Parklets,published,15/11/2020 3:25,,15/11/2020 3:23,Yarra,-37.819379,145.010058,"Whites Place, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb09f9357adc-98f7a869-fe0b-4f00-9473-15743cf9e829.jpeg,,
35,Parklets,published,15/11/2020 3:31,,15/11/2020 3:30,Brimbank,-37.785035,144.832003,Hampshire Road,,,
36,Parklets,published,15/11/2020 3:32,,15/11/2020 3:29,Yarra,-37.819379,145.004039,"Coppin St, Richmond",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0a14573981-549e4aaf-6fda-4be1-b594-116067e32b9b.jpeg,,
37,Parklets,published,15/11/2020 3:33,,15/11/2020 3:31,Brimbank,-37.783871,144.832154,Hampshire Road,,,Area subject to move around the street as construction work continues.
38,Parklets,published,15/11/2020 4:50,,15/11/2020 4:47,Port Phillip,-37.831323,144.960477,Yarra Pl,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0b3862b43e-img_5689.jpg,,St Ali
39,Parklets,published,15/11/2020 4:58,,15/11/2020 4:56,Moreland,-37.765815,144.972983,Hickford Street,,,alchemy brewing co
40,Parklets,published,15/11/2020 5:51,,15/11/2020 5:49,Wyndham,-37.876476,144.682086,Derrimut Road,,,Pacific Werribee Cinema Carpark
41,Parklets,published,15/11/2020 6:43,,15/11/2020 6:43,Melbourne,-37.803709,144.951419,Leveson Street,,,
42,Parklets,published,15/11/2020 6:46,,15/11/2020 6:46,Melbourne,-37.804452,144.950668,Leveson street,,,Extra big parklet
43,Parklets,published,15/11/2020 7:07,,15/11/2020 7:06,Yarra Ranges,-37.903355,145.329257,Morris Road,,,
44,Parklets,published,15/11/2020 9:07,,15/11/2020 9:05,City of Melbourne,-37.803922,144.966197,Lygon Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0efbe7d3e6-parklet%20lygon.jpeg,,
45,Parklets,published,15/11/2020 9:08,,15/11/2020 9:07,Yarra Council,-37.800056,144.984246,Smith St,,,
46,Parklets,published,15/11/2020 9:09,,15/11/2020 9:09,Yarra council,-37.800318,144.983694,Greeves St,,,
47,Parklets,published,15/11/2020 9:10,,15/11/2020 9:09,Yarra Council,-37.800176,144.984232,Smith St,,,
48,Parklets,published,15/11/2020 9:11,,15/11/2020 9:10,Yarra Council,-37.796772,144.987618,Wellington St,,,
49,Parklets,published,15/11/2020 9:11,,15/11/2020 9:08,City of Melbourne,-37.807783,144.954369,William Street,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0f0b0e4703-royal%20standard%201.jpeg,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0f0b19831e-royal%20standard%202.jpeg,
50,Parklets,published,15/11/2020 9:11,,15/11/2020 9:11,Yarra Council,-37.797553,144.991238,Keele St,,,
51,Parklets,published,15/11/2020 9:18,,15/11/2020 9:18,Moreland,-37.768962,144.962563,Albert Street,,,
52,Parklets,published,15/11/2020 9:19,,15/11/2020 9:19,Moreland,-37.766608,144.958753,Victoria Street,,,
53,Parklets,published,15/11/2020 9:20,,15/11/2020 9:19,Stonnington,-37.849431,144.992266,Greville St,,,
54,Parklets,published,15/11/2020 9:21,,15/11/2020 9:20,Moreland,-37.774103,144.97142,Piera Street,,,
55,Parklets,published,15/11/2020 9:22,,15/11/2020 9:21,Moreland,-37.774154,144.971598,Piera Street,,,Two parklets in Piera st
56,Parklets,published,15/11/2020 9:23,,15/11/2020 9:22,Moreland,-37.766947,144.96111,Victoria Street,,,
57,Parklets,published,15/11/2020 10:07,13/12/2020 23:30,15/11/2020 10:05,Hobsons Bay,-37.860713,144.902243,Nelson Pl,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb0fdee830ed-pxl_20201107_004239059%201.jpg,,This photo was during construction. The fencing is better now.
58,Parklets,published,15/11/2020 10:16,15/11/2020 21:42,15/11/2020 10:15,Mornington Peninsula,-38.182599,145.09105,Mt Eliza way,,,
59,Parklets,published,15/11/2020 11:58,,15/11/2020 11:54,Glen Eira,-37.918616,145.040254,Centre Road,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb117fa4e90b-img_20201114_084809180.jpg,,
60,Parklets,published,15/11/2020 12:03,,15/11/2020 11:59,Glen Eira,-37.918392,145.038221,"Centre Road, Bentleigh",https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb11902e6c95-img_20201111_125758061.jpg,,One on each side of street
61,Parklets,published,15/11/2020 12:09,,15/11/2020 12:07,Boroondara Council,-37.847799,145.076338,George Street,,,One carshare parking space converted into outdoor seating area for café
62,Parklets,published,15/11/2020 12:09,,15/11/2020 12:06,Maribyrnong,-37.801804,144.906839,Yewers Lane,https://74ddb495e3f187ded630-0b4c691ea14dad11384ab079da46af4f.ssl.cf2.rackcdn.com/melbourneparklets.api.ushahidi.io/5/f/5fb11a721eafa-img_20201114_191821_044.jpg,,
63,Parklets,published,15/11/2020 12:10,,15/11/2020 12:08,Monash,-37.899688,145.091742,Chester Street,,,
64,Parklets,published,15/11/2020 12:11,,15/11/2020 12:10,Monash,-37.899299,145.088421,Chester Street,,,In front of Cote Terra
65,Parklets,published,15/11/2020 12:15,,15/11/2020 12:14,Monash,-37.876035,145.128735,Hamilton place,,,
66,Parklets,published,15/11/2020 12:16,,15/11/2020 12:15,Monash,-37.876645,145.127673,Hamilton place,,,
67,Parklets,published,15/11/2020 12:20,,15/11/2020 12:17,Unknown Vic Gardens,-37.813471,145.012182,Christine Cres,,,
68,Parklets,published,15/11/2020 13:00,,15/11/2020 12:58,Bayside,-37.905466,145.001818,Bay Street,,,Additional seating for Brighton Hotel
69,Parklets,published,15/11/2020 21:00,,15/11/2020 20:58,Casey,-38.031017,145.347941,Wheeler street,,,Outside the Eighty One taphouse and bistro.
